EmployeeID,EmployeeName,Gender,Age,Department,JobTitle,EducationLevel,City,Salary,ExperienceYears,PerformanceScore,LeavesTaken,ProjectsHandled,JoiningDate,Status,Attrition,WorkMode
20036,,Female,45,Sales,Analyst,phd,Noida,₹31156.05,1,7,28,7,7/21/2019,Active,,
20037,Employee_754,Male,30,Legal, Senior Analyst ,Bachelor,Delhi,₹30477.74,1,9,20,11,9/8/2022,,Yes,On-site
20038,Employee_252,Male,26,Operations,Director,Master,Kolkata,₹84425.25,10,10,22,23,8/4/2020,Active,Yes,HYBRID
20041,Employee_817,Female,35,Engineering,executive,High School,Chennai,₹49141.52,6,9,19,24,4/26/2020,,Yes,Remote
20044,Employee_1125,Male,47,Product,Senior Analyst,High School,Noida,₹28344.42,3,10,16,3,3/3/2016,Active,,
20047,Employee_171,Male,26,HR,vp,Master,Noida,₹249243.18,31,10,21,14,5/6/2022,Resigned, No ,Remote
20049,Employee_425,Male,57,HR,Senior Analyst, PhD ,Pune,₹191161.66,22,10,14,23,2/20/2016,RESIGNED,No,Remote
20050,Employee_53,Male,48,Legal,Director,Master,Ahmedabad,₹24064.44,2,7,7,19,5/20/2020,TERMINATED,,On-site
20060,Employee_1268,Female,60,legal,VP,PHD,Chennai,₹18453.27,0,4,15,15,10/28/2023,Resigned,,Hybrid
20061,Employee_447,Female,53, Engineering ,,Bachelor,Chennai,₹152464.86,22,6,16,8,12/2/2022,Terminated,Yes,On-site
20062,Employee_441,Female,42,Legal,Analyst,High School,Ahmedabad,₹249091.52,33,8,15,16,5/1/2018,On Leave,Yes,Remote
20072,,Female,50,Finance,VP,Bachelor,Mumbai,₹124010.95,26,2,28,21,1/9/2024,RESIGNED,No,Remote
20074,Employee_1493,Male,59,Finance,Manager,Bachelor,Gurgaon,₹60401.02,7,10,22,24,11/1/2023,On Leave,No,On-site
20075,Employee_1159,Female,53,FINANCE,Senior Engineer, PhD ,Pune,22036.88,4,3,4,9,5/26/2024,On Leave,No, Remote 
20076,Employee_1388,Female,34,Product,intern,bachelor,Noida,₹125228.00,25,1,23,25,6/3/2016,On Leave,Yes,On-site
20080,Employee_901,Male,51,Operations,VP,Master,Kolkata,₹45820.88,4,5,9,7,7/1/2018,Active,No,Remote
20083,Employee_1440,Female,49,HR,Engineer,PhD,Kolkata,₹36098.96,3,8,21,17,8/2/2019,On Leave,No,On-site
20084,Employee_957,Male,26,product,VP, High School ,Pune,₹74991.53,18,9,24,19,12/11/2021,RESIGNED,No,Remote
20086,Employee_865,Male,34,HR,VP,Master,Hyderabad,₹89661.29,16,6,15,7,3/2/2018,Active,,
20087,Employee_355,,30,HR, Engineer ,BACHELOR,Hyderabad,₹27691.88,1,7,29,24,9/1/2020,Terminated,,Hybrid
20088,Employee_188,,48,Sales,Intern,Master,Hyderabad,₹33450.85,9,4,15,14,2/22/2022,On Leave,No,Remote
20090,Employee_1252,Male,36,SALES,senior analyst,Bachelor,Bangalore,₹276863.25,33,5,20,20,3/10/2016,Terminated,no,hybrid
20091,Employee_207,Female,22,Finance,,Master,Pune,₹229633.69,35,6,17,20,2/24/2024,Active,No,Hybrid
20093,Employee_658,Female,51,,Senior Engineer,Master,Kolkata,85477.89,13,6,29,14,9/26/2023,RESIGNED,No,On-site
20096,Employee_777,Female,38,Engineering,senior manager,Bachelor,,161250.88,30,6,5,1,5/11/2015,Terminated,No,Hybrid
20097,Employee_5,Male,24,Marketing,Executive,Master,Pune,₹27041.01,1,5,19,5,10/24/2022,On Leave,yes,Hybrid
20099,Employee_928,Female,39,Legal,Senior Manager,PhD,,₹187776.98,23,6,139,3,4/22/2020,On Leave,Yes,On-site
20100,Employee_422,Female,51,Sales,Engineer,High School,Chennai,₹175878.49,26,6,3,25,10/23/2021,Resigned,No,HYBRID
20102,Employee_1383,Female,38,Marketing,VP,Bachelor,Hyderabad,₹179891.93,23,1,30,16,4/26/2015, Terminated ,Yes,Hybrid
20103,Employee_1137,Female,22,HR,Senior Engineer,,Bangalore,60408.18,8,3,18,13,6/22/2020,On Leave,No,Hybrid
20104,Employee_614,Male,44,Product,Intern,BACHELOR,Pune,₹273837.83,35,7,1,9,10/23/2021,On Leave,Yes,Remote
20108,Employee_49,Female,24,HR,Senior Engineer,,Pune,₹179451.87,27,1,16,13,2/11/2022,Terminated,Yes,Hybrid
20111,  Employee_1321  ,Male,45,Legal,,PhD,Hyderabad,₹36678.56,6,5,1,18,8/19/2022,On Leave,No,REMOTE
20112,Employee_10,Male,57,HR,Senior Engineer,,Gurgaon,₹159987.52,31,4,1,17,1/24/2018,On Leave,No,On-site
20113,Employee_26,Male,28,Finance,Analyst,PhD,Ahmedabad,₹119278.30,16,8,16,23,8/19/2016,On Leave,No,On-site
20114,  Employee_183  ,Male,51,Finance,Director,Master,Chennai,₹54772.10,9,3,12,3,10/23/2016,On Leave,No,On-site
20117,Employee_509,Female,22,HR,Senior Analyst,,  Noida  ,40459.45,3,6,24,10,11/23/2020,On Leave,Yes,Hybrid
20119,Employee_240,Male,48,Finance,VP,PhD,Bangalore,,25,2,13,23,10/11/2024, Terminated ,No, On-site 
20121,Employee_1420,Female,21, Marketing ,engineer,High School,Noida,₹134389.02,14,5,28,17,9/4/2015,Terminated,,Remote
20124,Employee_891,Female,39,Legal,DIRECTOR,Bachelor,Mumbai,₹46686.86,4,9,29,21,10/22/2017,On Leave,Yes,Hybrid
20125,Employee_193,Male,51,Marketing,Director,High School,Ahmedabad,₹113607.23,28,2,11,22,9/9/2022,Active,Yes,
20127,Employee_301,Male,45,Engineering,VP,MASTER,Noida,25785.6,2,7,28,7,12/27/2023,Resigned,No,Remote
20132,Employee_1265,Female,21,engineering, Analyst ,phd,Noida,₹79595.28,17,4,22,13,6/10/2015,terminated,Yes,Hybrid
20133,Employee_97,Male,36,Product,VP,Master,Mumbai,₹90315.57,10,1,22,8,1/12/2020,Active,Yes,Hybrid
20137,Employee_1300,Female,55,ENGINEERING,Intern,Master,  Ahmedabad  ,₹194323.32,32,7,1,12,5/28/2020,Terminated,No,Remote
20138,Employee_1344,Female,49,Engineering,Analyst,PhD,Delhi,,0,1,28,20,11/1/2022,Terminated,No,Remote
20139,,Male,23,Legal,DIRECTOR,,  Pune  ,₹80627.59,14,7,29,7,3/4/2022,,Yes,Hybrid
20141,Employee_171,Female,58,Operations,Senior Analyst,HIGH SCHOOL,Noida,₹56090.22,12,2,30,1,6/3/2021,On Leave, No ,On-site
20142,Employee_758,Female,31,Product,Director,High School,Hyderabad,₹33963.35,5,7,4,8,1/6/2015,On Leave,No,Hybrid
20143,Employee_949,Male,55,Product,senior manager,BACHELOR,Hyderabad,₹157658.90,19,6,10,22,8/31/2020,RESIGNED,yes,Hybrid
20145,Employee_25,,46,Product, Manager ,master,Mumbai,₹94756.11,24,8,8,12,12/7/2015,active,No,HYBRID
20146,Em@loyee_1006,Female,58,Product,Manager,PhD,Mumbai,₹159986.48,33,7,21,20,3/10/2023,,no,Remote
20149,Employee_1323,Male,38,Sales, Executive ,Master,Chennai,₹103807.03,19,9,15,6,1/19/2015,Active,no,Hybrid
20150,Employee_985,Female,53,Finance,Director,Master,Hyderabad,₹39455.41,8,6,28,1,4/23/2016,active,No,
20152,  Employee_1276  ,Male,24,Engineering, Senior Manager ,High School,Delhi,₹81892.51,12,8,10,15,9/7/2020,Terminated,,On-site
20154,Employee_409,Female,43,HR,,Master,Delhi,₹102342.59,27,7,29,25,9/5/2019,Terminated,YES,Hybrid
20158,Employee_58,Female,45,legal,Executive,Master,Gurgaon,₹89989.18,14,10,16,17,4/2/2020,Resigned,Yes,On-site
20159,Employee_1307,Female,40,Operations,Manager,Bachelor,Mumbai,₹128751.29,17,10,264,7,1/26/2018,Resigned,No,Remote
20160,Employee_603,Female,31,Product,Executive,High School,  Hyderabad  ,₹120429.89,13,10,28,19,6/20/2016,terminated,no,On-site
20162,Em#loyee_955,Male,34,hr,Engineer,Master,Pune,₹88313.76,13,7,21,21,10/6/2017,ACTIVE,yes,Hybrid
20169,Employee_594,Female,47,Product,Senior Engineer,master,Kolkata,₹77730.38,22,7,23,23,2/4/2020,On Leave,Yes,Hybrid
20171,  Employee_166  ,Female,50,Engineering,vp,High School,Hyderabad,₹107166.15,13,4,16,15,9/26/2024,Terminated,,Remote
20174,,Female,53,Product,Senior Engineer,high school,Chennai,₹45049.28,6,2,30,22,1/22/2017,Terminated,No,Remote
20179,Employee_9,Female,27,Legal,Senior Manager,Master,Delhi,,27,7,30,6,7/27/2020,Terminated,No,On-site
20182,,Male,22,Product,Senior Engineer,Master,,₹78955.74,23,4,30,13,6/9/2020,,Yes,hybrid
20184,Employee_1151,Male,44,sales,VP,Master,Pune,₹79694.38,12,6,17,24,9/24/2019,Resigned,No,Hybrid
20185,Employee_1211,Female,52,Sales,Senior Engineer,High School,Gurgaon,₹183655.22,24,7,6,5,7/27/2022,Resigned,Yes,Remote
20186,Employee_1107,Female,47,LEGAL,Senior Analyst, Master ,Bangalore,₹139023.16,30,5,28,10,9/11/2017, On Leave ,No,Hybrid
20187,Employee_324,,42,Finance,VP,Master,Noida,₹82636.66,13,5,10,22,5/14/2022,On Leave,Yes,on-site
20188,  Employee_1377  ,Male,28,Sales,VP,Bachelor,Delhi,,32,8,27,10,4/15/2020,On Leave,No,Remote
20191,Employee_29, Female ,39,Engineering,VP,Master,Ahmedabad,₹24138.32,2,3,28,4,9/7/2017,Active,Yes,Remote
20193,Employee_468,Male,31,Marketing,Senior Manager,High School,Pune,₹146687.45,18,7,2,22,10/23/2020,Terminated, No ,On-site
20194,Employee_280,Female,60,Legal,Senior Manager,,Delhi,₹19789.84,0,4,27,18,8/11/2023,Terminated,Yes,hybrid
20201,Employee_1336,Male,33,Sales,Executive,Bachelor,Chennai,,7,1,30,1,1/7/2021,Active,No,Hybrid
20205,Employee_675,Female,37,Sales,Senior Engineer,High School,Mumbai,45655.44,5,6,17,18,7/1/2017,on leave,yes,On-site
20206,Employee_740,Male,54,sales,Manager,High School,Hyderabad,₹223669.42,27,6,18,11,1/12/2017,Resigned,No,On-site
20207,Employee_341,Female,42,Sales,Executive,Master,Hyderabad,₹190309.13,22,5,21,18,8/25/2024, Active ,yes,
20209,Employee_1192,Male,28, Sales ,Senior Engineer,high school,Kolkata,₹42777.89,5,4,13,11,4/23/2018,Active,,Remote
20210,Employee_668,Male,41,HR,Analyst,Master,Mumbai,₹85500.27,17,4,3,25,5/6/2023,RESIGNED,No,On-site
20214,Employee_400,Female,28,Product,,high school,Kolkata,₹89263.11,17,7,20,3,8/8/2017,On Leave,No,On-site
20215,Employee_1146,Female,33,product,VP,PhD,Delhi,₹104684.34,24,3,10,17,5/9/2016, Active ,Yes,On-site
20216,Employee_1029,Female,33,Product,Analyst,PhD,Kolkata,₹230996.08,33,10,10,9,4/21/2024,Active,No,Remote
20217,Employee_1260,Male,44,Marketing,Executive,PhD,Chennai,₹178075.01,25,8,5,21,10/7/2024,Active,Yes,Remote
20220,Employee_183,Male,60,legal,SENIOR MANAGER,High School,Gurgaon,₹144313.21,17,4,7,5,1/2/2015,Active,No,Remote
20221,Employee_205,Male,60,,Executive,Master,Ahmedabad,₹201826.78,26,2,15,6,6/28/2024, Terminated ,Yes,Hybrid
20224,Employee_1361,Male,36,product, Engineer ,Master,Bangalore,₹83482.22,30,7,9,12,2/9/2018,Resigned,No,Remote
20228,Employee_740,Male,29,HR,INTERN,Master,Ahmedabad,₹41384.78,4,4,22,13,8/31/2023,Resigned,NO,Remote
20229,Employee_1435,Female,29,legal,Senior Engineer,Bachelor,  Kolkata  ,₹137587.84,31,4,26,14,1/1/2018, On Leave ,No,On-site
20230,,,23, HR ,Intern,High School,Chennai,,1,3,5,13,10/5/2023,Resigned,No,On-site
20238,Employee_852,Male,28,Sales,Executive,High School,Hyderabad,₹57451.21,14,4,28,22,11/11/2017,Resigned,No,On-site
20243,  Employee_703  ,Male,26,HR,VP,Bachelor,Pune,₹69032.58,19,5,18,18,8/13/2019,Active,Yes,
20244,Employee_1324,Female,36,Legal,Senior Analyst,High School,Ahmedabad,₹215972.11,28,5,28,25,11/10/2022,On Leave,No,ON-SITE
20249,Employee_78,Male,39,legal,Senior Manager,High School,Noida,₹264479.86,34,1,3,12,1/28/2020,On Leave, Yes ,
20251,Employee_1317,Female,51,Legal,Analyst,master,Mumbai,₹222932.30,26,1,28,22,3/10/2020,Terminated,No,Remote
20254,Employee_727,Male,42,marketing,,High School,Pune,₹161055.03,30,5,2,15,11/10/2015,Terminated,No,Hybrid
20258,Employee_1138,Male,38,Finance,Manager, Bachelor ,Kolkata,,6,4,29,13,8/8/2019, On Leave ,,Remote
20260,Employee_905,,56,Legal,Intern,High School,Delhi,271900.85,34,4,30,8,5/11/2016,Terminated, No , Remote 
20261,Employee_548,Female,42,Product,Senior Analyst,PHD,Bangalore,₹39807.16,9,7,16,6,10/6/2021,On Leave,No,On-site
20268,Employee_1116,Male,43,HR,INTERN,Bachelor,Kolkata,₹45880.36,6,9,27,3,5/28/2017,On Leave,,Hybrid
20269,Employee_1354,Female,26,Engineering,Director,PhD,Bangalore,₹19084.04,1,9,26,8,4/6/2020,Resigned,Yes,REMOTE
20271,Employee_972,Female,40,product,analyst,Master,Delhi,₹103142.57,11,3,3,12,3/24/2024,On Leave,no,Hybrid
20276,Employee_405,Male,22,Sales,vp, Master ,Gurgaon,₹35931.77,4,9,6,7,6/1/2016,Resigned,,Hybrid
20278,Employee_237,Female,27,sales,Executive,,Ahmedabad,₹67366.32,15,5,28,8,11/7/2015,Terminated,No,Hybrid
20279,Employee_834,Male,27,Sales,,Master,Bangalore,₹120033.05,15,7,28,10,8/26/2024,ON LEAVE,NO,Hybrid
20282,Employee_1122,Female,30,PRODUCT,,High School,Noida,₹25597.15,1,4,22,12,6/13/2020,Active,No,Remote
20283,Employee_1329,Male,43,Product,Engineer,Bachelor,Ahmedabad,₹128288.37,24,1,27,9,11/9/2016,Resigned,No,on-site
20286,Employee_1057,Female,36,Operations,Manager,phd,Chennai,₹38893.10,7,1,12,15,10/23/2015,,Yes,remote
20288,Employee_366,Male,52,Operations,Engineer,Master,Noida,,29,7,26,3,6/4/2018,Active,No,On-site
20290,Employee_1203,Female,53,Finance,senior manager,PhD,Delhi,₹122393.02,21,4,17,15,5/7/2016,Resigned,No, Hybrid 
20292,Employee_18,Female,22,marketing,VP,Master,Ahmedabad,₹64448.12,8,6,17,7,2/9/2021,ON LEAVE,No,Remote
20293,Employee_1495,Female,50,Sales,Director,,Delhi,,22,4,11,19,12/6/2020,RESIGNED,No,On-site
20294,Employee_581,Female,39,engineering,SENIOR ENGINEER,PhD,Hyderabad,₹190665.18,29,8,9,10,7/8/2023,Active,No,Hybrid
20296,,Male,27,Marketing,Intern,Bachelor,Chennai,₹48593.81,7,6,9,11,7/23/2023, Terminated ,No,On-site
20301,Employee_674,Male,57,Engineering,Analyst,PhD,Kolkata,₹49768.26,5,6,19,1,9/2/2017, On Leave ,Yes,Remote
20302,Employee_226,Male,38, Operations ,Senior Manager,bachelor,Delhi,₹84928.05,16,9,19,6,12/5/2023,On Leave,No,On-site
20304,Employee_1119,Male,50,Product,engineer,PhD,Noida,₹183869.05,25,9,7,25,4/10/2016,Resigned,No,On-site
20308,Employee_847, Female ,42,Legal,Executive,Bachelor,  Bangalore  ,₹50710.41,5,4,26,3,10/9/2016,Terminated, No ,ON-SITE
20310,Employee_61,Male,26,Operations,SENIOR ANALYST,bachelor,Gurgaon,₹67905.14,12,2,8,17,7/28/2016, Active ,yes,On-site
20311,Employee_831,Female,33,,,PhD,,₹112205.59,19,1,16,3,12/15/2017,Resigned,No,ON-SITE
20312,Employee_1448,Female,38,,Manager,Bachelor,Mumbai,₹150517.33,22,9,11,6,6/5/2022,on leave,No,Remote
20314,  Employee_271  ,Male,56,Legal,Manager,HIGH SCHOOL,Bangalore,₹136550.14,25,7,12,14,2/28/2016,On Leave,No,On-site
20316,  Employee_369  ,Male,60,Marketing,VP,PhD,Bangalore,113447.87,28,9,12,2,9/27/2023,Terminated,Yes,REMOTE
20317,Employee_853,Female,59,Marketing,Senior Manager,High School,Bangalore,₹237060.54,28,5,3,20,5/10/2021,terminated,Yes,Remote
20319,Employee_1128,Male,24,Finance,VP,Bachelor,Hyderabad,₹101789.93,14,5,16,16,2/4/2016,Active,No,Hybrid
20320,,Male,60,,Engineer,Master,Pune,₹127105.38,19,1,9,9,5/2/2020, Terminated ,No,On-site
20322,Employee_713,Female,56,engineering,Intern,Master,Gurgaon,₹43177.75,6,3,19,24,8/2/2022,Active,No,On-site
20323,Employee_1424,Female,24,Engineering,Senior Manager, Master ,Gurgaon,,12,7,7,7,6/15/2015,On Leave,No,On-site
20328,Employee_1051,Female,52,Legal,Senior Analyst,PhD,Delhi,₹57672.18,8,5,4,16,1/1/2024,Resigned,No,Hybrid
20329,  Employee_1279  ,Female,53,,Analyst,High School,Hyderabad,₹144852.61,21,9,9,10,5/25/2018,Active,No,
20333,Employee_119,Female,60,Engineering,Engineer,high school,Hyderabad,₹143481.52,18,3,21,23,9/29/2024,Resigned,Yes,ON-SITE
20335,Employee_112,Male,45,Marketing,Executive,PhD,Chennai,₹74746.57,29,4,25,5,8/3/2021,,No,Remote
20336,Employee_1364,Male,29,Engineering,VP,Master,Delhi,₹147588.29,19,5,9,7,1/3/2016,active,Yes,
20338,Employee_1478,,24,Legal,Engineer,high school,Gurgaon,₹161670.44,20,1,18,6,7/30/2018,Terminated,Yes,on-site
20341,Employee_703,Female,36,Product, Senior Analyst ,PhD,Ahmedabad,₹88875.29,25,10,15,13,10/2/2022,,NO,Hybrid
20352,Employee_643,Female,48,Operations,VP,High School,Hyderabad,₹86474.08,17,10,4,5,7/22/2020,, Yes ,Remote
20354,Employee_1010,Male,25,Finance,Engineer,Bachelor,Noida,₹111603.79,14,1,11,4,1/24/2021,TERMINATED,No,On-site
20355,Employee_1068, Male ,29,Finance,Engineer,High School,,₹97824.04,25,7,30,18,1/4/2017, Resigned ,No,Remote
20356,Employee_489,Female,30,Product,Engineer,BACHELOR,Gurgaon,₹27274.96,3,7,17,7,3/17/2022,On Leave,no,On-site
20358,Employee_581,Male,50,product,Director,High School,Mumbai,₹194845.37,35,3,8,12,12/14/2016,Terminated,,On-site
20359,Employee_1067,Male,58,Marketing,Intern,Bachelor,Gurgaon,₹152302.66,30,5,4,4,1/2/2016,On Leave,NO,Remote
20360,,Female,40,Sales,Senior Engineer,Bachelor,Mumbai,₹66890.58,11,6,9,21,6/23/2020,On Leave,No,Hybrid
20362,Em@loyee_480,Male,43,HR,Engineer,high school,Bangalore,₹25026.95,2,3,25,20,8/18/2024,Active,Yes,Remote
20371,  Employee_1223  ,Male,24,Finance,senior analyst,Master,Pune,129469.83,17,2,4,23,11/23/2022,Terminated,No,Remote
20372,Employee_1251,Female,38,Legal,Senior Manager,Master,Gurgaon,₹131850.29,24,2,23,16,12/26/2020,Terminated,No,On-site
20373,Employee_366,Female,40,Sales,Director,PhD,Noida,₹58072.28,16,3,16,25,1/17/2021,On Leave,Yes,On-site
20375,Employee_669,Female,33,Legal,Senior Analyst,Bachelor,Kolkata,₹88865.21,26,7,1,5,9/1/2017,,NO,Hybrid
20380,Employee_440,Female,32,Operations,Senior Analyst,,Delhi,₹79074.09,14,9,5,8,6/4/2024,resigned,Yes,On-site
20384,Employee_930,Female,34,Engineering,Director,Bachelor,Delhi,₹110533.44,22,10,19,10,4/1/2020,terminated,No,Remote
20388,Employee_702,Male,40,Legal,VP, PhD ,Kolkata,99268.32,22,2,6,10,11/26/2022,On Leave,Yes,Remote
20390,Employee_615,Male,36,OPERATIONS,Manager,Bachelor,,₹68144.51,8,2,13,15,11/10/2017,Terminated,yes,REMOTE
20393,Employee_1440,Female,30,HR,SENIOR MANAGER,PhD,Bangalore,₹40265.21,4,8,29,13,7/10/2021,ON LEAVE,No,Remote
20394,Employee_50,Male,41,Finance,Director,Master,,₹92451.56,26,2,5,14,4/9/2023, Active ,No,On-site
20399,Employee_1436,Male,50,engineering,Executive,BACHELOR,Pune,₹114253.55,32,5,20,14,9/3/2021,Terminated,NO,Hybrid
20400,Employee_1172,Male,25,Finance,intern,BACHELOR,Gurgaon,₹272449.49,34,4,20,10,8/11/2019,on leave,NO,Hybrid
20402,Employee_209,Female,44,Legal,Analyst,PhD,Delhi,₹90586.14,20,8,19,6,2/10/2020,Active,No,Hybrid
20412,Employee_478,,49,Operations,Executive, Master ,Gurgaon,₹253262.30,31,7,6,22,8/11/2021,Terminated,No,hybrid
20414,Employee_426,Female,42,HR,Senior Engineer,High School,,₹90422.49,14,4,18,13,3/30/2023,Terminated,Yes,on-site
20415,Employee_535,Male,49,Operations,Senior Manager,Master,Chennai,₹96488.39,33,10,18,25,7/18/2024,Active,no,hybrid
20416,Employee_254,Female,35,Legal,Intern,PhD,Mumbai,₹90123.26,19,1,21,19,6/18/2023,Resigned,Yes,on-site
20418,Employee_231,Male,51,Engineering,Analyst,BACHELOR,Noida,₹68138.32,23,4,11,25,1/19/2022,on leave,No,
20420,,Female,55, Finance ,SENIOR ENGINEER,Bachelor,Bangalore,₹210005.33,25,3,27,17,9/7/2015,Terminated,No,On-site
20430,Employee_915,Male,29, HR ,senior analyst,High School,Kolkata,₹192536.34,27,1,16,13,4/9/2017,Terminated,Yes,On-site
20434,Employee_76,Female,41,Sales,VP,Bachelor,Kolkata,₹102899.90,32,1,3,9,11/10/2024,On Leave,no,On-site
20435,Employee_482,,49,operations,Manager, High School ,Chennai,₹41837.72,4,4,23,14,1/29/2015,On Leave,Yes,On-site
20436,Employee_360,Male,25, Legal ,Engineer,Bachelor,Chennai,₹89207.60,10,4,20,23,5/1/2018,ON LEAVE,No,On-site
20440,Employee_247,Male,47,Engineering,senior analyst,Bachelor,Noida,₹27871.04,2,9,10,10,7/11/2015,Resigned,No,Hybrid
20443,Employee_1418,Male,50,Operations,Engineer,MASTER,Delhi,₹44231.11,4,6,13,5,1/23/2015,Terminated,,Remote
20446,Employee_869,Male,24,finance,VP,High School,Hyderabad,₹90400.28,11,6,12,1,7/8/2023,Terminated,No,Hybrid
20447,Em#loyee_1210,Male,49,Legal,Director,Bachelor,Ahmedabad,₹36124.92,5,6,29,25,2/2/2021,ON LEAVE,No,On-site
20451,Employee_1135,Male,46,,VP,High School,Hyderabad,₹15546.17,0,7,29,16,5/20/2023,On Leave,no,Hybrid
20452,Employee_1230, Female ,57,sales, VP ,High School,Noida,₹213074.78,34,3,30,22,9/1/2024,Terminated,Yes,On-site
20459,Employee_76,Female,48,Operations,Senior Engineer,Master,,₹31672.14,3,4,27,22,4/22/2021,Active,No,On-site
20460,  Employee_615  ,Female,41, Engineering ,EXECUTIVE,,Noida,₹107588.74,29,4,12,20,3/16/2015,Terminated,Yes,hybrid
20463,Employee_905,Male,23,finance,Senior Manager,,Hyderabad,₹93777.98,10,8,4,11,11/12/2023,On Leave,Yes,Hybrid
20464,Employee_1432,Male,30,Product,Intern,PHD,Ahmedabad,₹89541.29,15,1,7,4,12/9/2024,Active,No, Hybrid 
20466,Employee_570,Male,44,Product,Executive,PhD,Mumbai,₹106793.86,27,1,26,21,4/18/2022,,Yes,Remote
20472,Employee_1457,Male,39,Marketing,,bachelor,Bangalore,₹105912.09,33,3,22,3,3/13/2023,Terminated,Yes,on-site
20473,Employee_803,Female,21,Product,Senior Manager,High School,Pune,₹74744.71,11,10,14,19,2/11/2023,Resigned,No,Remote
20475,Employee_528,Male,46,Product,MANAGER,Master,Pune,,31,6,27,7,7/2/2018,Resigned,No,Hybrid
20476,  Employee_472  ,,55,Marketing,Senior Manager,PhD,Mumbai,45197.55,10,9,18,9,6/4/2019,On Leave,No,Remote
20477,Employee_1018,Female,56,,Senior Manager,master,Kolkata,₹137291.87,27,10,29,25,8/12/2017,,no, Remote 
20479,Employee_951,Male,46,Legal,Senior Engineer, PhD ,Ahmedabad,₹187422.94,34,6,8,1,5/5/2015,,No,Hybrid
20480,Employee_951, Female ,56, Finance ,Director,Bachelor,Noida,₹33293.61,3,5,30,25,1/4/2019, Terminated ,No,HYBRID
20481,Employee_76,Female,54,marketing,Director,PHD,Noida,₹124929.85,17,10,29,5,7/2/2015,Terminated,Yes,Remote
20484,Employee_266,Female,30,Finance,Intern,Master,Ahmedabad,,11,8,4,3,7/7/2020,,,On-site
20486,Employee_1486,Female,37,ENGINEERING,VP,Master,,74284.01,8,7,17,8,11/10/2019,TERMINATED,No,On-site
20487,Employee_1312,Male,60,HR,Senior Engineer, Master ,,₹16172.81,1,7,17,9,11/4/2015,Resigned,No,On-site
20489,Employee_1086,Female,41,PRODUCT,Intern,Bachelor,Bangalore,₹194545.29,34,4,28,8,10/15/2018, Resigned ,Yes,On-site
20490,Employee_115,Male,57,Marketing,Senior Engineer,Bachelor,Mumbai,₹103310.07,32,4,2,17,3/2/2019,Resigned,No,remote
20495,Employee_1274,Male,53,HR,, Bachelor ,,₹165773.51,31,2,19,1,11/28/2015,Terminated,No,remote
20496,Employee_24,Male,44,Product,senior engineer,,Mumbai,₹93852.83,18,5,27,15,8/17/2019,On Leave,,Remote
20501,,Female,56,HR,VP,master,Delhi,₹105031.81,25,5,19,15,3/13/2020,Resigned,No,Remote
20502,Employee_743,Male,60, Sales ,director,phd,  Noida  ,,27,9,10,13,7/3/2019,Terminated,Yes,on-site
20506,Employee_542,Male,52,Legal,,High School,Mumbai,₹106371.49,15,4,30,24,1/18/2020,ON LEAVE,No,Remote
20511,Employee_523,Male,28,OPERATIONS,Analyst,PhD,Delhi,₹61364.58,13,7,2,9,12/20/2021,Resigned,No,Remote
20513,Employee_269,Male,57,Product,Director,Bachelor,Mumbai,,5,2,27,12,8/3/2024,On Leave,No,Remote
